PNG,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,DRAJ2000,DDECJ2000,PNstat,Catalogue,MajDiam,MinDiam,mainClass,subClass,GALEX_IAUName,GALEX_objID,photoExtractID,GALEX_RA,GALEX_DEC,E_bv,glon,glat,fov_radius,nuv_mag,nuv_magerr,fuv_mag,fuv_magerr,nuv_artifact,fuv_artifact,fuv_weight,nuv_weight,NUV_MAGERR_ISO,NUV_MAG_APER_1,NUV_MAG_APER_2,NUV_MAG_ISO,NUV_MAG_APER_3,NUV_MAG_APER_4,NUV_MAG_APER_5,NUV_MAG_APER_6,NUV_MAG_APER_7,NUV_MAGERR_APER_1,NUV_MAGERR_APER_2,NUV_MAGERR_APER_3,NUV_MAGERR_APER_4,NUV_MAGERR_APER_5,NUV_MAGERR_APER_6,NUV_MAGERR_APER_7,NUV_MAG_AUTO,NUV_MAGERR_AUTO,NUV_KRON_RADIUS,NUV_A_IMAGE,NUV_B_IMAGE,NUV_THETA_IMAGE,NUV_ELLIPTICITY,NUV_FWHM_IMAGE,NUV_CLASS_STAR,FUV_MAG_ISO,FUV_MAGERR_ISO,FUV_MAG_APER_1,FUV_MAG_APER_2,FUV_MAG_APER_3,FUV_MAG_APER_4,FUV_MAG_APER_5,FUV_MAG_APER_6,FUV_MAG_APER_7,FUV_MAGERR_APER_1,FUV_MAGERR_APER_2,FUV_MAGERR_APER_3,FUV_MAGERR_APER_4,FUV_MAGERR_APER_5,FUV_MAGERR_APER_6,FUV_MAGERR_APER_7,FUV_MAG_AUTO,FUV_MAGERR_AUTO,FUV_KRON_RADIUS,FUV_A_IMAGE,FUV_B_IMAGE,FUV_THETA_IMAGE,FUV_ELLIPTICITY,FUV_FWHM_IMAGE,FUV_CLASS_STAR,grankdist,ngrankdist,primggroupid,primgid,FUVavg,NUVavg,FUVavgerr,NUVavgerr,gdistancerank,HASHGALEXdist,NUV_DIFF_45
000.1-01.7,JaSt~85,17,52,48.9,-,29,41,59.03,268.20379,-29.69973,T,2006MNRAS.373...79P,16.7,12.2,E,s;,GALEX~J175248.9-294201,3736125118084023054,3736125118082973696,268.20411,-29.70039,1.023,0.15185,-1.7384,0.44,21.042,0.337,-888.0,-999.0,1,-999,-999.0,127.703,0.242,2.937,2.337,1.065,1.633,1.007,0.991,1.066,1.171,0.609,0.441,0.329,0.272,0.366,0.534,0.776,0.962,0.337,3.5,1.83,1.454,3.31,0.205,8.98,0.981,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,1,2,3736125118084023054+6388050495303320005,3736125118084023054,-999.0,21.054,-999.0,0.011,0,2.586,-0.084
000.1-01.7,JaSt~85,17,52,48.9,-,29,41,59.03,268.20379,-29.69973,T,2006MNRAS.373...79P,16.7,12.2,E,s;,GALEX~J175249.0-294203,6388050495303320005,6388050495302270976,268.20422,-29.70088,1.023,0.15148,-1.73873,0.472,21.065,0.545,-888.0,-999.0,17,-999,-999.0,71.719,0.373,3.737,2.885,1.552,1.692,1.219,1.182,0.829,0.612,1.468,0.944,0.462,0.423,0.598,0.589,0.638,0.985,0.545,5.964,1.379,0.972,-42.397,0.295,6.916,0.869,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,2,-99,,3736125118084023054,-999.0,-999.0,-999.0,-999.0,-99,4.351,-0.063
000.1-02.3,Bl~3-10,17,55,20.5,-,29,57,36.14,268.83557,-29.96004,T,1992secg.book.....A,7.2,6.9,R,a;r;,GALEX~J175520.5-295735,3736230671233848638,3736230671232794624,268.83578,-29.95998,0.911,0.20493,-2.34242,0.348,21.984,0.366,-888.0,-999.0,4,-999,-999.0,425.5,0.287,4.281,3.431,2.154,2.549,2.008,2.148,1.861,2.401,0.858,0.522,0.357,0.331,0.544,0.581,1.28,1.904,0.366,3.5,1.701,1.275,26.583,0.25,7.27,0.953,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0,1,3736230671233848638,3736230671233848638,-999.0,21.984,-999.0,0.366,0,0.704,-0.24
000.2-01.9,M~2-19,17,53,45.6,-,29,43,46.34,268.44009,-29.72954,T,1992secg.book.....A,20.0,-999.0,B,,GALEX~J175345.5-294348,3736125118084022887,3736125118082973696,268.43965,-29.73022,0.859,0.22989,-1.92984,0.439,21.956,0.544,-888.0,-999.0,1,-999,-999.0,132.188,0.319,4.288,2.899,1.745,1.842,1.567,2.676,5.022,99.0,1.866,0.672,0.38,0.412,1.625,19.622,99.0,1.876,0.544,3.5,1.421,0.924,-32.638,0.35,6.841,0.931,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0,1,3736125118084022887,3736125118084022887,-999.0,21.956,-999.0,0.544,0,2.83,-1.209
000.3-03.4,MPA~J1800-3023,18,0,11.1,-,30,23,48.84,270.04626,-30.3969,T,2008MNRAS.384..525M,5.0,5.0,R,,GALEX~J180010.7-302347,6388050508188223975,6388050508187172864,270.04496,-30.39651,0.929,0.34795,-3.46615,0.071,21.006,0.462,-888.0,-999.0,17,-999,-999.0,49.938,0.34,3.143,2.045,1.109,1.501,0.858,1.371,2.659,99.0,1.408,0.608,0.479,0.4,0.872,3.94,99.0,0.926,0.462,3.809,1.882,0.771,27.281,0.59,7.199,0.898,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0,1,6388050508188223975,6388050508188223975,-999.0,21.006,-999.0,0.462,0,4.281,-0.613
000.4-02.9,M~3-19,17,58,19.3,-,30,0,39.31,269.58057,-30.01092,T,1992secg.book.....A,7.2,6.6,R,,GALEX~J175819.2-300037,6388050508188225868,6388050508187172864,269.58025,-30.01055,1.182,0.48415,-2.92599,0.542,21.114,0.689,-888.0,-999.0,19,-999,-999.0,56.508,0.352,3.838,2.769,1.251,1.299,1.085,1.217,0.957,1.102,2.107,1.132,0.421,0.457,0.719,0.784,1.184,1.034,0.689,5.903,1.303,1.102,71.276,0.154,6.146,0.882,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0,1,6388050508188225868,6388050508188225868,-999.0,21.114,-999.0,0.689,1,1.668,-0.232
000.4-02.9,M~3-19,17,58,19.3,-,30,0,39.31,269.58057,-30.01092,T,1992secg.book.....A,7.2,6.6,R,,GALEX~J175819.5-300039,3736476961779750965,3736476961778696192,269.58131,-30.01103,1.182,0.48419,-2.92703,0.595,21.016,0.378,-888.0,-999.0,19,-999,-999.0,210.719,0.28,3.648,2.813,1.797,2.081,1.443,1.616,1.165,0.672,0.701,0.446,0.351,0.282,0.478,0.442,0.376,0.936,0.378,6.846,1.742,1.028,-39.756,0.41,8.002,0.908,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0,1,3736476961779750965,3736476961779750965,-999.0,21.016,-999.0,0.378,2,2.329,-0.274
000.5-01.6,Al~2-Q,17,53,25.0,-,29,17,8.74,268.35434,-29.28576,T,1992secg.book.....A,9.2,-999.0,R,,GALEX~J175324.9-291705,3736125118084025835,3736125118082973696,268.35382,-29.28493,1.101,0.57616,-1.63988,0.036,21.084,0.315,-888.0,-999.0,273,-999,-999.0,110.078,0.212,2.3,1.681,0.893,1.11,1.079,1.221,1.013,1.931,0.45,0.308,0.241,0.314,0.494,0.545,1.67,1.004,0.315,3.5,1.59,1.092,-88.887,0.313,5.77,0.982,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,1,2,3736125118084025835+6388050495303322473,3736125118084025835,-999.0,20.783,-999.0,0.3,0,3.397,-0.243
000.5-01.6,Al~2-Q,17,53,25.0,-,29,17,8.74,268.35434,-29.28576,T,1992secg.book.....A,9.2,-999.0,R,,GALEX~J175325.0-291704,6388050495303322473,6388050495302270976,268.35426,-29.2847,1.101,0.57656,-1.64009,0.036,20.483,0.411,-888.0,-999.0,17,-999,-999.0,62.883,0.256,2.839,1.712,0.68,0.959,0.68,0.672,0.317,0.295,1.014,0.463,0.297,0.31,0.413,0.404,0.523,0.403,0.411,5.712,1.531,1.33,-17.24,0.131,8.045,0.974,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,2,-99,,3736125118084025835,-999.0,-999.0,-999.0,-999.0,-99,3.838,-0.092
000.5-05.3,SB~2,18,8,35.0,-,31,6,51.84,272.14564,-31.1144,T,2001A&A...378..843K,23.0,23.0,R,s;,GALEX~J180834.8-310650,6384109786573575777,6384109786572521472,272.145,-31.11415,0.535,0.5988,-5.39208,0.594,20.679,0.369,-888.0,-999.0,1,-999,-999.0,59.164,0.271,3.02,2.08,0.647,1.136,0.515,0.596,0.736,1.439,0.892,0.617,0.366,0.283,0.41,0.618,1.563,0.599,0.369,3.5,1.936,1.283,43.349,0.337,9.437,0.971,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0,1,6384109786573575777,6384109786573575777,-999.0,20.679,-999.0,0.369,0,2.161,-0.181
