PNG,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,DRAJ2000,DDECJ2000,PNstat,Catalogue,MajDiam,MinDiam,mainClass,subClass,SDSS_objID,SDSS_RA,SDSS_DEC,mode,SDSS_type,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,flags_u,flags_g,flags_r,flags_i,flags_z,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,sdistancerank,HASHSDSSdist,r_SDSS_diff
003.3+66.1,SkAc~1,14,16,22.0,,13,52,24.13,214.09149,13.87337,P,2001A&A...378..843K,50.0,45.0,R,,1237662637974749193,214.09143,13.8734,1,6,17.717,18.204,18.654,18.877,18.99,0.01,0.019,0.015,0.022,0.04,17.483,17.535,17.83,18.969,18.8,0.035,0.053,0.063,0.118,0.366,402821136,276992528,4503599904363024,268468240,275280592912,17.723,18.173,18.637,18.857,18.973,0.01,0.006,0.009,0.013,0.041,0,0.249,0.016
009.6+14.8,NGC~6309,17,14,4.3,-,12,54,37.69,258.51801,-12.91047,T,1992secg.book.....A,22.8,12.4,B,m;p;r;s;,1237668598317842913,258.51686,-12.90967,1,6,19.888,17.322,18.599,19.235,18.636,0.195,0.164,0.158,0.13,0.17,20.303,17.696,18.806,19.287,18.901,0.409,0.347,0.351,0.279,0.375,70369046200337,70369047216145,4573968673538065,303071248,70369046200337,19.928,17.386,18.603,19.193,18.643,0.1,0.011,0.02,0.025,0.054,2,4.971,-0.004
009.6+14.8,NGC~6309,17,14,4.3,-,12,54,37.69,258.51801,-12.91047,T,1992secg.book.....A,22.8,12.4,B,m;p;r;s;,1237668598317842903,258.51758,-12.90999,1,6,24.634,20.225,20.394,21.733,22.826,41.026,1.412,0.975,0.461,12.661,24.635,20.584,20.552,21.803,22.827,62.877,3.097,2.174,1.061,23.013,9007199397511441,70369047248913,4503599929393168,303071248,9007199431332113,24.635,20.248,20.383,21.702,22.827,3.938,0.11,0.092,0.22,1.165,1,2.292,0.011
009.9-00.5,IRAS~18066-2034,18,9,40.6,-,20,34,21.36,272.41901,-20.5726,P,2001A&A...378..843K,-999.0,-999.0,,,1237668649868395800,272.41766,-20.57229,1,6,25.239,20.926,18.533,17.378,16.278,2.167,0.058,0.012,0.041,0.02,24.958,21.204,18.65,17.336,16.404,3.622,0.122,0.02,0.01,0.017,9007199397515537,275179929616,4503599929393168,302153744,302022672,25.283,20.94,18.547,17.349,16.281,2.138,0.059,0.011,0.007,0.01,0,4.694,-0.014
010.2+00.3,PHR~J1806-1956,18,6,55.3,-,19,56,18.2,271.73043,-19.93839,T,2006MNRAS.373...79P,61.0,50.0,B,a;m;s,1237668650404876876,271.72992,-19.93954,1,6,23.981,23.539,21.537,20.647,19.848,2.019,0.528,0.148,0.079,0.152,24.154,29.006,20.659,28.664,24.427,10.78,0.347,0.327,0.384,3.81,9007199430959377,9007199430934801,6825768621473809,275179929616,2251799981625361,27.166,24.262,20.435,20.15,19.158,1.103,2.234,0.132,0.149,0.261,0,4.489,1.102
013.3+32.7,Sn~1,16,21,4.4,-,0,16,10.52,245.26842,-0.26959,T,1992secg.book.....A,5.9,5.0,E,p;s;,1237648704067273057,245.26837,-0.2696,1,3,13.984,12.776,14.189,14.904,15.201,0.016,0.0,0.011,0.014,0.015,13.682,12.784,13.435,14.39,14.5,0.001,0.001,0.001,0.001,0.004,2251800082153488,867110054305107984,6755674587430928,2251800082284560,2251800082153488,13.706,13.843,13.485,14.39,14.542,0.003,0.006,0.002,0.003,0.004,0,0.185,0.703
026.0+46.6,WPS~4,15,50,54.7,,14,59,33.0,237.72792,14.9925,P,2005AJ....129..927R,120.0,120.0,,,1237668335785607341,237.72808,14.99269,1,6,14.941,14.711,15.055,15.303,15.559,0.013,0.02,0.016,0.013,0.014,14.98,14.71,15.098,15.355,15.615,0.003,0.001,0.001,0.002,0.005,268468240,268603408,4503599895838736,268468240,268599312,14.932,14.682,15.045,15.296,15.555,0.004,0.003,0.004,0.004,0.006,0,0.898,0.01
027.6+10.5,Pre~21,18,4,19.6,+,0,8,4.2,271.08167,0.1345,T,2017LAstr.131b..46L,6.0,6.0,S,,1237651758285456766,271.08087,0.13559,1,6,24.635,25.114,22.113,20.63,20.214,1.938,2.743,0.23,0.065,0.185,24.627,25.114,22.11,20.553,20.853,3.317,4.363,0.51,0.13,0.592,9007199397380369,9007199431069969,4503599929360400,302022672,275179896848,24.633,25.12,21.983,20.497,20.224,1.518,1.51,0.125,0.049,0.157,3,4.866,0.13
027.6+10.5,Pre~21,18,4,19.6,+,0,8,4.2,271.08167,0.1345,T,2017LAstr.131b..46L,6.0,6.0,S,,1237651758285456723,271.08166,0.13458,1,3,18.696,17.453,17.701,18.35,17.98,0.032,0.092,0.063,0.176,0.205,18.158,16.877,16.665,17.375,17.424,0.055,0.061,0.143,0.415,0.592,2252074960060432,2252074960195600,6755674587562000,2252074960060432,2252074960060432,17.957,16.724,16.602,17.327,17.173,0.018,0.005,0.004,0.008,0.022,1,0.274,1.098
027.6+10.5,Pre~21,18,4,19.6,+,0,8,4.2,271.08167,0.1345,T,2017LAstr.131b..46L,6.0,6.0,S,,1237651758285456713,271.08236,0.1339,1,6,19.149,17.508,16.845,16.42,16.005,0.046,0.094,0.031,0.033,0.036,19.33,17.651,16.731,16.344,16.159,0.085,0.07,0.072,0.074,0.081,268468240,268603408,4503599895969808,268468240,268468240,19.145,17.517,16.688,16.292,16.04,0.029,0.006,0.005,0.005,0.008,2,3.292,0.157
